Algoritmo,Base,Repeticao,D,Dp,Dn,Atributos,I,Tempo,Testes,Seed,WRAcc,size,TP,FP,SUPP,Qg,Chi_Quad,p_value,Lift,DiffSup,K,GrowthRate,OddsRatio,cov,conf,supp,suppP,suppN
SSDP,borovecki-pn-width-2,8,31,17,14,22283,44566,1.638,980452,112131119,0.236004162,1.6,16.2,0,1,16.2,27.98509804,1.50E-07,1.823529412,0.952941176,5,Infinity,Infinity,0.522580645,1,0.522580645,0.952941176,0
SSDP,borovecki-pn-width-2,9,31,17,14,22283,44566,1.872,1114150,108626351,0.236004162,1.6,16.2,0,1,16.2,27.98509804,1.50E-07,1.823529412,0.952941176,5,Infinity,Infinity,0.522580645,1,0.522580645,0.952941176,0
SSDP,borovecki-pn-width-2,10,31,17,14,22283,44566,1.747,1069584,107980007,0.236004162,1.6,16.2,0,1,16.2,27.98509804,1.50E-07,1.823529412,0.952941176,5,Infinity,Infinity,0.522580645,1,0.522580645,0.952941176,0
SSDP,borovecki-pn-width-4,1,31,17,14,22283,87611,4.275,2715941,179424673,0.224349636,1.8,15.4,0,1,15.4,25.34705882,8.03E-07,1.823529412,0.905882353,5,Infinity,Infinity,0.496774194,1,0.496774194,0.905882353,0
SSDP,borovecki-pn-width-4,2,31,17,14,22283,87611,4.914,3329218,125164703,0.236004162,2,16.2,0,1,16.2,27.98509804,1.50E-07,1.823529412,0.952941176,5,Infinity,Infinity,0.522580645,1,0.522580645,0.952941176,0
SSDP,borovecki-pn-width-4,3,31,17,14,22283,87611,4.243,2803552,132011827,0.230176899,1.8,15.8,0,1,15.8,26.66607843,4.76E-07,1.823529412,0.929411765,5,Infinity,Infinity,0.509677419,1,0.509677419,0.929411765,0
SSDP,borovecki-pn-width-4,4,31,17,14,22283,87611,4.805,3153996,124987441,0.236004162,2.6,16.2,0,1,16.2,27.98509804,1.50E-07,1.823529412,0.952941176,5,Infinity,Infinity,0.522580645,1,0.522580645,0.952941176,0
SSDP,borovecki-pn-width-4,5,31,17,14,22283,87611,5.148,3241607,123979721,0.236004162,2.8,16.2,0,1,16.2,27.98509804,1.50E-07,1.823529412,0.952941176,5,Infinity,Infinity,0.522580645,1,0.522580645,0.952941176,0
SSDP,borovecki-pn-width-4,6,31,17,14,22283,87611,4.306,2891163,119777719,0.224349636,1.8,15.4,0,1,15.4,25.25284314,6.70E-07,1.823529412,0.905882353,5,Infinity,Infinity,0.496774194,1,0.496774194,0.905882353,0
SSDP,borovecki-pn-width-4,7,31,17,14,22283,87611,3.4,2102664,117705823,0.212695109,1.8,14.6,0,1,14.6,23.08403499,5.53E-06,1.823529412,0.858823529,5,Infinity,Infinity,0.470967742,1,0.470967742,0.858823529,0
SSDP,borovecki-pn-width-4,8,31,17,14,22283,87611,4.431,2978774,112131119,0.230176899,1.8,15.8,0,1,15.8,26.66607843,4.76E-07,1.823529412,0.929411765,5,Infinity,Infinity,0.509677419,1,0.509677419,0.929411765,0
SSDP,borovecki-pn-width-4,9,31,17,14,22283,87611,4.836,3066385,108626351,0.224349636,1.8,15.4,0,1,15.4,25.34705882,8.03E-07,1.823529412,0.905882353,5,Infinity,Infinity,0.496774194,1,0.496774194,0.905882353,0
SSDP,borovecki-pn-width-4,10,31,17,14,22283,87611,4.664,3153996,107980007,0.233090531,2.2,16,0,1,16,27.32558824,3.13E-07,1.823529412,0.941176471,5,Infinity,Infinity,0.516129032,1,0.516129032,0.941176471,0
SSDP,borovecki-pn-width-8,1,31,17,14,22283,159671,10.952,7185195,179424673,0.218522373,2.6,15,0,1,15,24.01141292,1.54E-06,1.823529412,0.882352941,5,Infinity,Infinity,0.483870968,1,0.483870968,0.882352941,0
SSDP,borovecki-pn-width-8,2,31,17,14,22283,159671,9.594,6546511,125164703,0.209781478,2.4,14.4,0,1,14.4,22.18806228,3.12E-06,1.823529412,0.847058824,5,Infinity,Infinity,0.464516129,1,0.464516129,0.847058824,0
SSDP,borovecki-pn-width-8,3,31,17,14,22283,159671,7.628,4949801,132011827,0.203954214,2,14,0,1,14,21.02422145,4.54E-06,1.823529412,0.823529412,5,Infinity,Infinity,0.451612903,1,0.451612903,0.823529412,0
